Week,Date,No. S. littoralis,H Temp.,L Temp.,RH,Biological control protocol,weeknum,year
1,9/5/2017,1,28,20,83,Bt,36,2017
2,9/14/2017,5,27,23,82,Bt,37,2017
3,9/21/2017,6,29,20,85,Bt,38,2017
4,9/28/2017,5,27,18,70,Bt,39,2017
5,10/5/2017,5,23,17,72,Bt,40,2017
6,10/12/2017,2,26,14,71,Bt,41,2017
7,10/19/2017,6,25,17,81,Bt,42,2017
8,10/26/2017,4,22,14,73,Bt,43,2017
9,11/2/2017,1,22,14,72,,44,2017
10,11/9/2017,1,22,13,80,,45,2017
11,11/16/2017,0,24,13,85,,46,2017
12,11/23/2017,0,25,10,85,,47,2017
13,11/30/2017,0,24,8,83,,48,2017
14,12/7/2017,0,25,13,83,,49,2017
15,12/14/2017,0,22,8,85,,50,2017
16,12/21/2017,0,22,12,88,,51,2017
17,12/28/2017,0,20,7,87,,52,2017
18,1/4/2018,0,20,6,90,,1,2018
19,1/11/2018,0,18,2,88,,2,2018
20,1/18/2018,0,21,6,85,,3,2018
21,1/25/2018,1,23,8,89,,4,2018
22,2/1/2018,5,21,5,85,,5,2018
23,2/8/2018,10,23,8,90,Bt,6,2018
24,2/15/2018,18,21,8,88,Bt,7,2018
25,2/22/2018,12,26,6,90,Bt,8,2018
26,3/1/2018,12,25,9,83,Bt,9,2018
27,3/8/2018,18,28,8,84,Bt,10,2018
28,3/15/2018,14,21,9,89,Bt,11,2018
29,3/22/2018,18,27,10,89,Bt,12,2018
30,3/29/2018,12,25,9,81,Bt,13,2018
31,4/5/2018,14,26,13,86,Bt,14,2018
32,4/12/2018,13,27,12,85,Bt,15,2018
33,4/19/2018,11,24,12,82,Bt,16,2018
34,4/26/2018,12,24,13,84,Bt,17,2018
35,5/3/2018,13,31,15,85,Bt,18,2018
36,5/10/2018,8,27,12,79,Bt,19,2018
37,5/17/2018,8,27,18,83,Bt,20,2018
38,5/24/2018,12,29,16,75,Bt,21,2018
39,5/31/2018,8,26,20,82,Bt,22,2018
40,6/7/2018,6,27,19,80,Bt,23,2018
41,6/14/2018,11,29,18,82,Bt,24,2018
42,6/21/2018,12,30,21,82,Bt,25,2018
43,6/28/2018,11,31,21,84,Bt,26,2018
44,7/5/2018,8,29,22,86,Bt,27,2018
45,7/12/2018,7,29,20,86,Bt,28,2018
46,7/19/2018,7,30,22,89,,29,2018
47,7/26/2018,10,28,22,78,Bt,30,2018
48,8/2/2018,7,28,22,75,Bt,31,2018
49,8/9/2018,12,28,22,75,Bt,32,2018
50,8/16/2018,10,28,20,75,Bt,33,2018
51,8/23/2018,9,29,22,80,Bt,34,2018
52,8/30/2018,5,26,21,82,Bt,35,2018
53,9/6/2018,5,28,21,84,,36,2018
54,9/13/2018,5,27,20,84,Bt,37,2018
55,9/20/2018,9,33,22,82,Bt,38,2018
56,9/27/2018,5,24,20,84,Bt,39,2018
57,10/4/2018,6,25,17,82,Bt,40,2018
58,10/11/2018,5,24,16,84,Bt,41,2018
59,10/18/2018,0,23,15,81,,42,2018
60,10/25/2018,0,23,20,82,,43,2018
61,11/1/2018,0,22,13,80,,44,2018
62,11/8/2018,0,21,14,80,,45,2018
63,11/15/2018,0,23,10,82,,46,2018
64,11/22/2018,0,24,8,87,,47,2018
65,11/29/2018,0,21,11,85,,48,2018
66,12/6/2018,0,25,13,83,,49,2018
67,12/13/2018,0,22,8,87,,50,2018
68,12/20/2018,0,22,12,74,,51,2018
69,12/27/2018,0,20,7,75,,52,2018
70,1/3/2019,0,20,6,80,,1,2019
71,1/10/2019,0,18,2,85,,2,2019
72,1/17/2019,0,21,6,83,,3,2019
73,1/24/2019,0,23,8,80,,4,2019
74,1/31/2019,0,21,6,77,,5,2019
75,2/7/2019,0,23,6,73,,6,2019
76,2/14/2019,0,20,7,72,,7,2019
77,2/21/2019,0,25,5,70,,8,2019
78,2/28/2019,0,19,11,75,,9,2019
79,3/7/2019,0,22,8,77,,10,2019
80,3/14/2019,0,21,8,70,,11,2019
81,3/21/2019,0,27,10,72,,12,2019
82,3/27/2019,4,24,9,70,Bt,13,2019
83,4/4/2019,5,25,12,80,Bt,14,2019
84,4/11/2019,4,25,11,72,Bt,15,2019
85,4/18/2019,3,24,8,74,Bt,16,2019
86,4/25/2019,4,24,14,79,Bt,17,2019
87,5/2/2019,5,31,15,75,Bt,18,2019
88,5/9/2019,6,27,12,70,Bt,19,2019
