Date,H Temp.,L Temp.,weeknum,year
9/5/2017,28,20,36,2017
9/6/2017,26,21,36,2017
9/7/2017,26,21,36,2017
9/8/2017,26,20,36,2017
9/9/2017,27,21,36,2017
9/10/2017,26,20,37,2017
9/11/2017,26,20,37,2017
9/12/2017,27,21,37,2017
9/13/2017,27,21,37,2017
9/14/2017,27,23,37,2017
9/15/2017,27,21,37,2017
9/16/2017,27,19,37,2017
9/17/2017,26,19,38,2017
9/18/2017,26,21,38,2017
9/19/2017,27,21,38,2017
9/20/2017,26,22,38,2017
9/21/2017,29,20,38,2017
9/22/2017,27,23,38,2017
9/23/2017,26,19,38,2017
9/24/2017,26,18,39,2017
9/25/2017,24,16,39,2017
9/26/2017,25,18,39,2017
9/27/2017,25,18,39,2017
9/28/2017,27,18,39,2017
9/29/2017,24,17,39,2017
9/30/2017,24,18,39,2017
10/1/2017,28,18,40,2017
10/2/2017,26,18,40,2017
10/3/2017,24,18,40,2017
10/4/2017,23,18,40,2017
10/5/2017,23,17,40,2017
10/6/2017,23,16,40,2017
10/7/2017,24,16,40,2017
10/8/2017,24,18,41,2017
10/9/2017,22,18,41,2017
10/10/2017,22,15,41,2017
10/11/2017,22,14,41,2017
10/12/2017,26,14,41,2017
10/13/2017,23,17,41,2017
10/14/2017,23,17,41,2017
10/15/2017,22,15,42,2017
10/16/2017,23,15,42,2017
10/17/2017,23,15,42,2017
10/18/2017,24,17,42,2017
10/19/2017,25,17,42,2017
10/20/2017,23,17,42,2017
10/21/2017,23,16,42,2017
10/22/2017,23,15,43,2017
10/23/2017,23,14,43,2017
10/24/2017,22,15,43,2017
10/25/2017,22,15,43,2017
10/26/2017,22,14,43,2017
10/27/2017,23,16,43,2017
10/28/2017,23,13,43,2017
10/29/2017,22,13,44,2017
10/30/2017,23,16,44,2017
10/31/2017,22,13,44,2017
11/1/2017,22,14,44,2017
11/2/2017,22,14,44,2017
11/3/2017,22,12,44,2017
11/4/2017,23,11,44,2017
11/5/2017,21,12,45,2017
11/6/2017,22,11,45,2017
11/7/2017,22,11,45,2017
11/8/2017,22,13,45,2017
11/9/2017,22,13,45,2017
11/10/2017,22,13,45,2017
11/11/2017,22,12,45,2017
11/12/2017,22,13,46,2017
11/13/2017,22,12,46,2017
11/14/2017,23,11,46,2017
11/15/2017,22,10,46,2017
11/16/2017,24,13,46,2017
11/17/2017,22,16,46,2017
11/18/2017,22,16,46,2017
11/19/2017,22,12,47,2017
11/20/2017,22,10,47,2017
11/21/2017,22,11,47,2017
11/22/2017,22,10,47,2017
11/23/2017,25,10,47,2017
11/24/2017,22,8,47,2017
11/25/2017,22,11,47,2017
11/26/2017,22,9,48,2017
